,index,algo,cell,dset,measure,rel value,split,value
420,2,pachitariu,2.0,1,corr,-0.0717925906534283,train,0.39054285982538123
421,3,pachitariu,3.0,1,corr,0.027016742285562223,train,0.4507707319736797
422,4,pachitariu,4.0,1,corr,0.021400433978391975,train,0.5408275526225091
423,5,pachitariu,5.0,1,corr,0.0446339348681013,train,0.5505802250251104
424,6,pachitariu,6.0,1,corr,0.04944903854921501,train,0.5471389154417333
425,7,pachitariu,7.0,1,corr,0.02042293487451119,train,0.5463425363166594
426,8,pachitariu,8.0,1,corr,0.002465351326036924,train,0.40439501307644965
427,9,pachitariu,9.0,1,corr,-0.007417400521942563,train,0.35804791697377825
428,10,pachitariu,10.0,1,corr,-0.018901549935108508,train,0.2953850765677476
429,0,ringach,0.0,1,corr,0.0242256239753742,train,0.5346595751330844
430,1,ringach,1.0,1,corr,-0.0009530282452759331,train,0.4205838642155452
